number,hhid,region,mpi_status,protected_exposure_5km,protected_exposure_10km,protected_exposure_15km,head_sex,head_age,marital_status,hsize,working_rate,distance_from_nearest_city_km,hfi_2016,elevation_km,slope_o,tourism_exposure,pub_lat_mod
1868,H2810901,Western,0,0.065432359,0.054419504,0.073201178,0,40,0,8,0,102.1277192,23.36896706,1112.4375,1.768903613,0,1.0207185
1869,H2810902,Western,1,0.065432359,0.054419504,0.073201178,0,24,0,2,0,102.1277192,23.36896706,1112.4375,1.768903613,0,1.0207185
1870,H2811001,Western,1,0.065432359,0.054419504,0.073201178,0,57,0,11,0,102.1277192,23.36896706,1112.4375,1.768903613,0,1.0207185
1871,H2820201,Western,1,0.328172297,0.231376863,0.155587571,0,55,0,9,0.25,52.33212913,7.873372555,1167.9375,3.325274706,0,0.88723594
1872,H2820501,Western,1,0.328172297,0.231376863,0.155587571,0,42,1,5,0,52.33212913,7.873372555,1167.9375,3.325274706,0,0.88723594
1874,H2820602,Western,1,0.328172297,0.231376863,0.155587571,0,19,1,2,0,52.33212913,7.873372555,1167.9375,3.325274706,0,0.88723594
1875,H2820605,Western,1,0.328172297,0.231376863,0.155587571,0,23,0,5,0,52.33212913,7.873372555,1167.9375,3.325274706,0,0.88723594
1876,H2820701,Western,1,0.328172297,0.231376863,0.155587571,0,45,0,4,0,52.33212913,7.873372555,1167.9375,3.325274706,0,0.88723594
1877,H2820901,Western,1,0.328172297,0.231376863,0.155587571,0,59,0,8,0,52.33212913,7.873372555,1167.9375,3.325274706,0,0.88723594
1878,H2820902,Western,1,0.328172297,0.231376863,0.155587571,0,26,0,2,1,52.33212913,7.873372555,1167.9375,3.325274706,0,0.88723594
1879,H2820904,Western,0,0,0.020802747,0.096682689,0,25,1,1,1,91.67953137,26.26270485,1158,2.947501183,0,0.045863599
1880,H2821001,Western,1,0.328172297,0.231376863,0.155587571,0,60,0,10,0,52.33212913,7.873372555,1167.9375,3.325274706,0,0.88723594
1881,H2821002,Western,1,0.328172297,0.231376863,0.155587571,0,21,0,3,0,52.33212913,7.873372555,1167.9375,3.325274706,0,0.88723594
1882,H2821101,Western,1,0,0.089887669,0.107068561,1,43,1,11,0,55.0251923,19.29535294,1227.75,1.459751368,0,0.96302104
1883,H2830101,Western,1,0.259779172,0.283144446,0.286219957,0,42,0,4,0,48.87056772,20.99051094,635.375,0.328140527,0,1.0091022
1884,H2830701,Western,1,0.259779172,0.283144446,0.286219957,1,43,0,4,0,48.87056772,20.99051094,635.375,0.328140527,0,1.0091022
1885,H2831001,Western,1,0,0.016123164,0.077096649,1,38,1,9,0.25,59.35031474,15.44783401,1292.8125,3.338109255,0,0.97343361
1886,H2850101,Western,1,0,0.000318073,0.05164915,1,35,0,2,0,134.2699132,16.4766922,1867.1875,5.486745358,0,-1.2526151
1887,H2850201,Western,1,0.001473756,0.167617458,0.220795617,1,75,1,5,0,124.2243754,22.96141815,1967.25,7.625051498,0,-1.1506003
1888,H2850301,Western,1,0.001473756,0.167617458,0.220795617,1,50,1,4,0,124.2243754,22.96141815,1967.25,7.625051498,0,-1.1506003
1889,H2850401,Western,1,0.001473756,0.167617458,0.220795617,0,54,0,7,0.5,124.2243754,22.96141815,1967.25,7.625051498,0,-1.1506003
1890,H2850501,Western,1,0.001473756,0.167617458,0.220795617,0,65,0,5,0,124.2243754,22.96141815,1967.25,7.625051498,0,-1.1506003
1891,H2850503,Western,1,0.001473756,0.167617458,0.220795617,1,27,0,2,0,124.2243754,22.96141815,1967.25,7.625051498,0,-1.1506003
1892,H2850504,Western,0,0.424089134,0.405345006,0.340273902,1,32,0,2,1,120.6576912,17.14036179,2023.0625,14.37209415,0,-1.1137875
1893,H2850602,Western,1,0.001473756,0.167617458,0.220795617,0,41,0,8,0.2,124.2243754,22.96141815,1967.25,7.625051498,0,-1.1506003
1894,H2850801,Western,1,0.001473756,0.167617458,0.220795617,0,44,0,11,0.5,124.2243754,22.96141815,1967.25,7.625051498,0,-1.1506003
1895,H2850902,Western,1,0,0.000318073,0.05164915,0,39,0,6,1,134.2699132,16.4766922,1867.1875,5.486745358,0,-1.2526151
1896,H2851001,Western,1,0.001473756,0.167617458,0.220795617,1,59,1,2,0,124.2243754,22.96141815,1967.25,7.625051498,0,-1.1506003
1897,H2851101,Western,1,0.001473756,0.167617458,0.220795617,1,39,0,6,0,124.2243754,22.96141815,1967.25,7.625051498,0,-1.1506003
1899,H2870201,Western,0,0.036981331,0.120321087,0.175268269,0,45,0,7,0,135.8309583,29.36094666,1150.3125,1.918831468,0,1.6943171
1900,H2870601,Western,0,0.036981331,0.120321087,0.175268269,0,53,0,3,0.5,135.8309583,29.36094666,1150.3125,1.918831468,0,1.6943171
1901,H2870901,Western,1,0.036981331,0.120321087,0.175268269,1,56,0,5,0.333333333,135.8309583,29.36094666,1150.3125,1.918831468,0,1.6943171
1902,H2870902,Western,1,0.036981331,0.120321087,0.175268269,1,30,1,4,1,135.8309583,29.36094666,1150.3125,1.918831468,0,1.6943171
1903,H2871001,Western,0,0.036981331,0.120321087,0.175268269,0,49,0,5,0,135.8309583,29.36094666,1150.3125,1.918831468,0,1.6943171
1904,H2880301,Western,1,0.006019893,0.154178726,0.244757083,0,26,0,4,0.5,149.3902777,21.3439045,1092.4375,1.57134974,0,1.6260251
1905,H2880501,Western,1,0.006019893,0.154178726,0.244757083,0,42,0,9,0.333333333,149.3902777,21.3439045,1092.4375,1.57134974,0,1.6260251
1906,H2880701,Western,0,0.006019893,0.154178726,0.244757083,0,36,0,1,1,149.3902777,21.3439045,1092.4375,1.57134974,0,1.6260251
1907,H2881001,Western,1,0.006019893,0.154178726,0.244757083,0,43,0,7,0.333333333,149.3902777,21.3439045,1092.4375,1.57134974,0,1.6260251
1908,H2900201,Western,1,0.315863147,0.405754031,0.422591774,0,55,0,2,0,133.0768808,15.76961613,1086.3125,1.737502456,0,1.7466522
1909,H2900301,Western,1,0.315863147,0.405754031,0.422591774,0,53,0,6,0,133.0768808,15.76961613,1086.3125,1.737502456,0,1.7466522
1910,H2900401,Western,1,0.315863147,0.405754031,0.422591774,0,55,0,14,0,133.0768808,15.76961613,1086.3125,1.737502456,0,1.7466522
1911,H2900501,Western,1,0.315863147,0.405754031,0.422591774,0,46,1,6,0,133.0768808,15.76961613,1086.3125,1.737502456,0,1.7466522
1912,H2900601,Western,1,0.315863147,0.405754031,0.422591774,0,39,0,6,0,133.0768808,15.76961613,1086.3125,1.737502456,0,1.7466522
1913,H2920201,Western,0,0.012943141,0.08590282,0.076752673,0,68,0,4,0,2.604215195,38.18297195,1404.375,2.541024208,0,-0.60876101
1914,H2920301,Central,0,0.000369685,0.055244249,0.072077318,0,42,0,7,0.25,18.08846278,36.19915009,1181.125,6.166379929,0,0.16092952
1915,H2920501,Western,0,0.012943141,0.08590282,0.076752673,1,63,0,3,0,2.604215195,38.18297195,1404.375,2.541024208,0,-0.60876101
1916,H2920701,Central,0,0,0.0009508,0.012273461,1,30,1,1,0,2.946544137,38.28891754,1184.875,2.810023785,0,0.32469067
1918,H2920901,Western,0,0.012943141,0.08590282,0.076752673,1,47,1,2,0.333333333,2.604215195,38.18297195,1404.375,2.541024208,0,-0.60876101
1919,H2921001,Western,0,0.012943141,0.08590282,0.076752673,1,33,1,1,1,2.604215195,38.18297195,1404.375,2.541024208,0,-0.60876101
1920,H2940101,Western,1,0.001865225,0.000466306,0.000606588,1,69,1,14,1,55.67168928,25.59369659,1725.0625,10.12196636,0,-0.13256295
1921,H2940201,Western,0,0.001865225,0.000466306,0.000606588,0,50,0,3,0.5,55.67168928,25.59369659,1725.0625,10.12196636,0,-0.13256295
1922,H2940301,Western,0,0.001865225,0.000466306,0.000606588,1,56,1,2,0,55.67168928,25.59369659,1725.0625,10.12196636,0,-0.13256295
1923,H2940302,Western,0,0.001865225,0.000466306,0.000606588,0,39,0,3,0,55.67168928,25.59369659,1725.0625,10.12196636,0,-0.13256295
1924,H2940401,Western,1,0.001865225,0.000466306,0.000606588,0,62,0,5,0,55.67168928,25.59369659,1725.0625,10.12196636,0,-0.13256295
1925,H2940502,Central,0,0.000653463,0.020926762,0.045674588,0,45,0,5,0.5,3.696143305,38.1488266,1202.5625,3.797909975,0,0.30165493
1926,H2940601,Western,0,0.001865225,0.000466306,0.000606588,0,47,0,3,1,55.67168928,25.59369659,1725.0625,10.12196636,0,-0.13256295
1927,H2940701,Western,1,0.001865225,0.000466306,0.000606588,0,44,0,4,0.333333333,55.67168928,25.59369659,1725.0625,10.12196636,0,-0.13256295
1928,H2940801,Western,0,0.001865225,0.000466306,0.000606588,0,56,0,8,0,55.67168928,25.59369659,1725.0625,10.12196636,0,-0.13256295
1930,H2941001,Western,0,0.001865225,0.000466306,0.000606588,0,73,0,4,0,55.67168928,25.59369659,1725.0625,10.12196636,0,-0.13256295
1933,H2950101,Western,1,0,0,0,1,34,0,7,0.5,38.8588062,14.11768055,1493.6875,9.942126274,0,-0.9256019
